Date,Open,High,Low,Close,Adj. Close,Change,Volume
25-Jun-25,"1,286.84","1,298.00","1,273.81","1,275.25","1,275.25",-0.30%,"2,146,510"
24-Jun-25,"1,260.55","1,282.57","1,255.00","1,279.11","1,279.11",2.04%,"2,663,307"
23-Jun-25,"1,238.03","1,254.84","1,215.01","1,253.54","1,253.54",1.80%,"2,667,318"
20-Jun-25,"1,234.45","1,248.50","1,224.35","1,231.41","1,231.41",0.75%,"5,348,193"
18-Jun-25,"1,229.99","1,242.00","1,220.50","1,222.29","1,222.29",0.13%,"2,281,047"
17-Jun-25,"1,219.95","1,232.36","1,216.09","1,220.67","1,220.67",-0.38%,"1,892,126"
16-Jun-25,"1,212.20","1,226.25","1,212.20","1,225.35","1,225.35",1.09%,"2,112,797"
13-Jun-25,"1,206.59","1,220.62","1,201.89","1,212.15","1,212.15",-0.24%,"2,210,253"
12-Jun-25,"1,222.59","1,230.00","1,211.97","1,215.03","1,215.03",-0.40%,"2,084,602"
11-Jun-25,"1,202.60","1,228.29","1,196.01","1,219.88","1,219.88",1.35%,"2,382,280"
10-Jun-25,"1,227.52","1,227.52","1,180.61","1,203.62","1,203.62",-1.70%,"4,454,447"
9-Jun-25,"1,238.88","1,238.88","1,221.57","1,224.46","1,224.46",-1.37%,"2,403,117"
6-Jun-25,"1,259.41","1,260.00","1,235.55","1,241.48","1,241.48",-0.72%,"2,556,956"
5-Jun-25,"1,240.60","1,262.81","1,237.29","1,250.52","1,250.52",0.88%,"2,821,797"
4-Jun-25,"1,220.74","1,242.56","1,219.88","1,239.66","1,239.66",1.78%,"2,359,381"
3-Jun-25,"1,219.87","1,229.57","1,211.18","1,217.94","1,217.94",-0.09%,"2,363,762"
2-Jun-25,"1,201.20","1,219.40","1,196.25","1,218.98","1,218.98",0.97%,"2,294,216"
30-May-25,"1,198.33","1,211.81","1,180.93","1,207.23","1,207.23",1.89%,"4,696,756"
29-May-25,"1,208.00","1,209.00","1,176.28","1,184.86","1,184.86",-1.96%,"3,303,079"
28-May-25,"1,210.27","1,215.91","1,206.02","1,208.55","1,208.55",-0.25%,"1,855,850"
27-May-25,"1,195.33","1,211.77","1,193.09","1,211.57","1,211.57",2.21%,"2,920,469"
23-May-25,"1,184.00","1,191.45","1,179.44","1,185.39","1,185.39",-0.22%,"2,186,483"
22-May-25,"1,192.40","1,198.75","1,187.21","1,187.97","1,187.97",-0.56%,"1,861,588"
21-May-25,"1,186.50","1,211.22","1,186.50","1,194.63","1,194.63",0.22%,"2,976,610"
20-May-25,"1,186.79","1,193.00","1,179.02","1,192.02","1,192.02",0.03%,"2,133,066"
19-May-25,"1,173.58","1,191.64","1,171.71","1,191.64","1,191.64",0.01%,"2,853,415"
16-May-25,"1,193.14","1,196.50","1,179.39","1,191.53","1,191.53",1.15%,"4,698,353"
15-May-25,"1,147.74","1,187.80","1,147.65","1,177.98","1,177.98",2.34%,"4,464,041"
14-May-25,"1,129.60","1,152.90","1,128.40","1,150.99","1,150.99",1.10%,"3,910,147"
13-May-25,"1,114.46","1,147.88","1,106.30","1,138.44","1,138.44",2.56%,"3,997,869"
12-May-25,"1,124.26","1,130.00","1,102.93","1,110.00","1,110.00",-2.65%,"6,479,079"
9-May-25,"1,147.10","1,151.00","1,133.22","1,140.22","1,140.22",-0.37%,"2,569,633"
8-May-25,"1,161.62","1,162.29","1,139.20","1,144.43","1,144.43",-0.95%,"3,760,872"
7-May-25,"1,139.18","1,164.00","1,138.00","1,155.41","1,155.41",1.56%,"4,352,394"
6-May-25,"1,129.43","1,147.66","1,126.40","1,137.69","1,137.69",0.32%,"3,256,682"
5-May-25,"1,114.80","1,144.02","1,107.01","1,134.06","1,134.06",-1.94%,"5,662,317"
2-May-25,"1,136.66","1,159.44","1,133.32","1,156.49","1,156.49",2.03%,"3,774,282"
1-May-25,"1,122.52","1,142.42","1,111.83","1,133.47","1,133.47",0.15%,"3,499,497"
30-Apr-25,"1,112.65","1,133.20","1,101.11","1,131.72","1,131.72",0.54%,"4,266,676"
29-Apr-25,"1,103.92","1,127.81","1,095.48","1,125.64","1,125.64",1.37%,"3,777,329"
28-Apr-25,"1,100.00","1,114.00","1,082.62","1,110.38","1,110.38",0.80%,"3,831,088"
25-Apr-25,"1,097.04","1,106.80","1,091.00","1,101.53","1,101.53",0.42%,"3,950,008"
24-Apr-25,"1,048.00","1,101.00","1,047.02","1,096.87","1,096.87",4.50%,"6,381,896"
23-Apr-25,"1,047.23","1,061.25","1,032.00","1,049.59","1,049.59",0.89%,"6,471,876"
22-Apr-25,"1,005.30","1,064.97","1,004.52","1,040.34","1,040.34",5.31%,"9,368,873"
21-Apr-25,984.4,"1,019.00",973.05,987.91,987.91,1.53%,"9,775,747"
17-Apr-25,969,984.7,956,973.03,973.03,1.19%,"8,893,735"
16-Apr-25,976.28,981.21,949.17,961.63,961.63,-1.50%,"6,066,113"
15-Apr-25,950,993.45,948,976.28,976.28,4.83%,"7,711,982"
14-Apr-25,932.7,948.98,919.5,931.28,931.28,1.41%,"4,035,895"
11-Apr-25,920,944.86,906.68,918.29,918.29,-0.31%,"4,073,638"
10-Apr-25,931.94,941.24,894,921.17,921.17,-2.57%,"5,129,755"
9-Apr-25,855.93,951.43,854.4,945.47,945.47,8.62%,"7,497,974"
8-Apr-25,912.44,922.42,857.7,870.4,870.4,0.30%,"5,625,382"
7-Apr-25,827.85,906.74,821.1,867.83,867.83,1.40%,"6,656,823"
4-Apr-25,896.5,906.63,853.87,855.86,855.86,-6.67%,"6,798,806"
3-Apr-25,901.8,946.59,900.47,917.05,917.05,-1.97%,"5,864,622"
2-Apr-25,923,949.55,916.11,935.52,935.52,0.77%,"3,256,886"
1-Apr-25,927.5,932.29,911.5,928.38,928.38,-0.45%,"3,519,956"
31-Mar-25,920.53,934.48,900.59,932.53,932.53,-0.14%,"4,634,075"
28-Mar-25,972,974.98,929.23,933.85,933.85,-4.39%,"4,422,717"
27-Mar-25,974.22,989,966.37,976.72,976.72,0.63%,"3,047,237"
26-Mar-25,993.81,996.79,966.32,970.65,970.65,-2.67%,"3,534,707"
25-Mar-25,978.18,998.7,977.11,997.28,997.28,2.60%,"3,782,245"
24-Mar-25,969.67,977,951.55,971.99,971.99,1.22%,"4,677,871"
21-Mar-25,941.64,963.65,940.95,960.29,960.29,0.99%,"5,905,429"
20-Mar-25,950.01,967,945.5,950.84,950.84,-0.90%,"4,466,305"
19-Mar-25,935.77,968,924,959.49,959.49,3.17%,"6,662,361"
18-Mar-25,940,948.25,916.3,929.98,929.98,-2.11%,"6,009,400"
17-Mar-25,939.95,967.63,934.42,950.02,950.02,3.49%,"7,543,146"
14-Mar-25,901.46,919.63,901,918,918,3.13%,"5,200,684"
13-Mar-25,913,921.89,887.51,890.17,890.17,-3.21%,"5,001,698"
12-Mar-25,914.6,927.18,901,919.68,919.68,2.75%,"6,865,837"
11-Mar-25,867.41,910.68,866,895.1,895.1,3.28%,"7,398,934"
10-Mar-25,875.07,881.27,854.5,866.68,866.68,-2.74%,"6,951,652"
7-Mar-25,897.64,904.89,858.07,891.11,891.11,-1.68%,"7,737,488"
